name,address,city,telephone1,url,fax,telephone2
Mega Sushi,12-2662 Austin, Coquitlam,778 355-1012,nil,nil,nil,
Minake Sushi,209-7115 138 St, Surrey,604 590-1024,nil,nil,nil,
Tokyo Sushi Express,7360 137 Street, Surrey,604 592-9368,nil,nil,nil,
Akebono Japanese Food & Sushi,123 Carrie Cates Crt, North Vancouver,604 987-3625,nil,nil,nil,
Asa Sushi,7608 Royal Oak, Burnaby,604 419-0233,nil,nil,nil,
Ban Chok Dee Thai Cuisine,101-5499 203 St, Langley,778 278-3088,nil,nil,nil,
Nakama Sushi,308-20300 Fraser Hwy, Langley,604 534-7071,nil,nil,nil,
Nick Sushi,1-2953 W 4th Ave, Vancouver,604 734-3881,nil,nil,nil,
Minato Sushi Restaurant,992 W Broadway, Vancouver,604 732-6532,nil,nil,nil,
Tokyo Sushi Express,101-8556 120 St, Surrey,604 590-6838,nil,nil,nil,
Tokyo John Sushi,3349 Cambie St, Vancouver,604 872-3434,nil,nil,nil,
Tsukiji Japanese Restaurant,4751 Garden City, Richmond,604 276-2629,nil,nil,nil,
Banzai Sushi House,40-8251 Westminster Hwy, Richmond,604 821-0355,nil,nil,nil,
Nippon Sushi ,906-6339 200 St, Langley,604 510-5252,nil,nil,nil,
Umami Sushi,205-17725 64 Ave, Surrey,604 574-8816,nil,nil,nil,
Bao Sushi,72 Eighth St, New Westminster,604 522-6789,nil,nil,nil,
Benkey Sushi,27520 Fraser Hwy, Aldergrove,604 626-0333,nil,nil,nil,
Bentei Sushi,2893 Grandview Hwy, Vancouver,604 568-0941,nil,nil,nil,
Sinh's Blue Sky Japanese Bistro,1815 W 1st Ave, Vancouver,604 734-5858,nil,nil,nil,
Blowfish Sushi & Japanese Food,107-2828 E Hastings St, Vancouver,604 258-75OO,nil,nil,nil,
Nordel Sushi,125-12080 Nordel Way, Surrey,604 597-7220,nil,nil,nil,
Octopus Garden Restaurant,1995 Cornwall Ave, Vancouver,604 734-8971,nil,nil,nil,
Ogenki Sushi,4346 Main St, Vancouver,604 875-9975,nil,nil,nil,
Pine Sushi Square,18-935 Marine, North Vancouver,604 960-1133,nil,nil,nil,
Umi Sushi Express,1156-4700 Kingsway, Burnaby,604 568-9228,nil,nil,nil,
Umi Sushi Express,3B-701 W Georgia St, Vancouver,604 633-9228,nil,nil,nil,
Urban Sushi,Bsmt-909 Dunsmuir St, Vancouver,604 806-6205,nil,nil,nil,
Vancouver Shinpo Japanese,101-3735 Renfrew St, Vancouver,604 431-6853,nil,nil,604 431-6851,
Q Q Sushi,1640 Broadway W, Vancouver,604 568-9018,nil,nil,nil,
Bluefin Sushi,319 Columbia E, New Westminster,604 525-0105,nil,nil,nil,
Daikichi Sushi,1739 Marine, West Vancouver,604 922-6554,nil,nil,nil,
Damiko Sushi,140-2950 King George Blvd, Surrey,604 531-0006,nil,nil,nil,
Dunbar Sushi,3626 16th Ave W, Vancouver,604 568-5959,nil,nil,nil,
Dundarave Sushi,2459 Marine, West Vancouver,604 922-5588,nil,nil,nil,
Ra Sushi,180-20330 88 Ave, Langley,604 455-0518,nil,nil,nil,
Royal Oak Sushi House,6514 Royal Oak, Burnaby,604 435-3350,nil,nil,nil,
Ryu Sushi,3079 Main St, Vancouver,604 558-2668,nil,nil,nil,
Santouka Japanese Ramen,1690 Robson St, Vancouver,604 681-8121,nil,nil,nil,
Sashimi Sushi,106-2310 Ottawa St, Port Coquitlam,604 468-0200,nil,nil,nil,
Volcano Sushi & Grill,1991 E Hastings St, Vancouver,604 566-9918,nil,nil,nil,
Waka Sushi Japanese  Restaurant,C101-20090 91A Ave, Langley,604 888-4862,nil,nil,nil,
Wasabi Sushi,5-21768 Lougheed Hwy, Maple Ridge,604 477-0222,nil,nil,nil,
Watami Sushi,514 Broadway W, Vancouver,604 708-8638,nil,nil,nil,
Fresh Take-Out Japanese,909 Expo Blvd, Vancouver,604 568-6112,nil,nil,nil,
Shima Ya Sushi,5589 Victoria Dr, Vancouver,604 322-4649,nil,nil,nil,
Yoko Sushi & Noodle House,102-16013 Fraser Hwy, Surrey,604 507-5575 ,nil,604 507-5570,nil,
Fujiya Japanese Foods,912 Clark Dr, Vancouver,604 251-3711,nil,nil,nil,
Fujiya Japanese Foods,450 Alexander St, Vancouver,604 251-9093,nil,nil,nil,
Fujiya Take Out,112-1050 W Pender, Vancouver,604 608-1050,nil,nil,nil,
Futago Sushi,9175 148 St, Surrey,604 585-6040,nil,nil,nil,
Gem Sushi,1926-1960 Como Lake, Coquitlam,604 931-3363,nil,nil,nil,
Shinjuku Japanese Restaurant,15019 Marine, White Rock,604 535-6060,nil,nil,nil,
Shinobi Sushi,11867 224 St, Maple Ridge,604 466-1811,nil,nil,nil,
Shuraku Restaurant,833 Granville St, Vancouver,604 687-6622,nil,nil,nil,
Simon Sushi,5-20178 96 Ave, Langley,604 888-5055,nil,nil,nil,
Yutaka Japanese Cuisine,4148 Main St, Vancouver,604 566-9622,nil,nil,nil,
Zipaing Sushi,3710 Main St, Vancouver,604 708-1667,nil,nil,nil,
Soho Sushi,791 W 16th Ave, Vancouver,604 569-0333,nil,nil,nil,
Guildford Sushi House,40-10330 152 St, Surrey,604 588-8620,nil,nil,nil,
Happy Sushi,100-7831 Westminster Hwy, Richmond,604 278-8098,nil,nil,nil,
Hi Sushi,132-3388 Rosemary Heights Cres, Surrey,604 538-3114,nil,nil,nil,
Hibiki Sushi,1-4739 Willingdon Ave, Burnaby,604 437-9399,nil,nil,nil,
Hiro Japan Xpress,408-1055 Dunsmuir St, Vancouver,604 669-0468,nil,nil,nil,
Hiro Sushi City Square,33-555 12th Ave W, Vancouver,604 566-9931,nil,nil,nil,
Sugarcane Vietnamese Cafe,5633 West Blvd, Vancouver,604 261-9233,nil,nil,nil,
Sushi California,A-501 North Rd, Coquitlam,604 931-8284,nil,nil,nil,
Sushi Castle,102-15785 Croydon, Surrey,604 538-9335,nil,nil,nil,
Sushi Elephant,205-403 North Rd, Coquitlam,604 917-0260,nil,604 917-0261,nil,
Sushi Go,570 Bute St, Vancouver,604 677-4758,nil,nil,nil,
Hirosaka Sushi,110-22470 Dewdney Trunk Rd, Maple Ridge,604 466-0649,nil,nil,nil,
Ichibankan Express SFU,5-8910 University High, Burnaby,604 291-2982,nil,nil,nil,
Ichimi Sushi,742K-4567 Lougheed Hwy, Burnaby,604 299-2992,nil,nil,nil,
Ikebana Sushi,2090 Alma St, Vancouver,604 558-3533,nil,nil,nil,
Mix-2 Karaoke,6681 MacPherson Ave, Burnaby,604 438-0886,nil,nil,604 438-0879,
Mix-2 Karaoke,130-8400 Alexandra Rd, Richmond,604 821-1800,nil,nil,604 821-1810,
Paeg Ya Karaoke,90-10330 152 St, Surrey,604 930-8010,nil,nil,nil,
Plus Karaoke,B-341 North Rd, Coquitlam,778 355-4579,nil,nil,nil,
Ruby Music Box,102-1200 Lonsdale Ave, North Vancouver,604 924-6851,nil,nil,nil,
Spin Karaoke,13740 104 Ave, Surrey,604 584-0088,nil,nil,nil,
Zodiac Karaoke,155-8291 Alexandra Rd, Richmond,604 273-8326,nil,nil,nil,
Club Paradise Karaoke,315 E Broadway, Vancouver,604 876-6386,nil,nil,nil,
Fantacity,1-745 Thurlow, Vancouver,604 899-0006,nil,nil,nil,
Gold Music Box Co,1153-1163 Pinetree Way, Coquitlam,604 464-7743,nil,nil,nil,
Hollywood North Cabaret,856 Seymour, Vancouver,604 682-7722,nil,nil,nil,
Lux Karaoke Shop,3994 Fraser, Vancouver,604 879-6399,nil,nil,nil,
Millennium Karaoke,201-4451 No. 3 Rd, Richmond,604 273-0005,nil,nil,nil,
Fazio Foods International,1050 Glen, Vancouver,604 253-2668,nil,nil,nil,
Jasmine Halal Meats & Mediterranean Foods,4323 Main St, Vancouver,604 879-5518,nil,nil,nil,
Kosher Food Warehouse,612 Kingsway, Vancouver,604 709-9889,nil,nil,nil,
Omnitsky Kosher,5866 Cambie, Vancouver,604 321-1818,nil,604 321-1817,nil,Aldergrove Liquor Store,2-26444 32 Ave, Aldergrove,604 856-3100,nil,nil,
The Arms Liquor Store,3255 Coast Meridian, Port Coquitlam,604 941-6362,nil,nil,
Austin Station Liquor Store,11-2662 Austin, Coquitlam,604 931-2525,nil,nil,
Big Pete's Liquor Store,8473 120 St, Delta,604 592-2595,nil,604 592-2599,
Billy Miner Pub,22355 River Rd, Maple Ridge,604 467-6007,nil,nil,
Bimini Liquor Store,2018 W 4th Ave, Vancouver,604 738-2714,nil,nil,
Bimini Wine Line,2018 W 4th Ave, Vancouver,604 738-3411,nil,nil,
Blundell Liquor Town,120-8180 No. 2 Rd, Richmond,604 241-4611,nil,nil,
Boone County Liquor Store,140 Schoolhouse, Coquitlam,604 515-7790,nil,604 515-0379,
Bridgeport Liquor Store,180-3031 Beckman Pl, Richmond,778 297-6977,nil,nil,
Broadway Liquor Store,1169 Broadway W, Vancouver,604 568-7168,nil,nil,
Clayton Liquor Store,102-18789 Fraser Hwy, Surrey,604 575-8720,nil,604 575-8740,
Coal Harbour Liqour Store,1212 W Pender St, Vancouver,604 685-1212,nil,604 685-1313,
Crosstown Liquor Store,568 Abbott, Vancouver,604 683-8438,nil,nil,
Darby's Liquor Store,2001 MacDonald St, Vancouver,604 731-8750,nil,nil,
Donagal's Liquor Barn,12050 96 Ave, Surrey,604 582-5476,nil,nil,
Dunbar Liquor Boutique,5648 Dunbar St, Vancouver,604 267-2337,nil,nil,
Everything Wine,204-1075 Marine, North Vancouver,604 969-9460,nil,nil,
Everything Wine,112-15735 Croydon, Surrey,604 542-2480,nil,nil,nil,
Granville Liquor Store,2658 Granville St, Vancouver,604 731-2669,nil,nil,nil,
Hampton's Liquor Retail Store,101-15388 24 Ave, Surrey,604 538-4746,nil,nil,nil,
Hastings Liquor Store,2769 E Hastings St, Vancouver,604 638-1632,nil,nil,nil,
Heights Liquor Store,4125 Hastings St, Burnaby,604 298-4624,nil,nil,nil,
Johnston Street Liquor Store,1175 Johnson St, Coquitlam,604 945-4886,nil,nil,nil,
Kelly's Liquor Store,113-7218 King George Hwy, Surrey,604 543-5036,nil,nil,nil,
St. Johns St Liquor Store,4-2929  St. Johns St, Port Moody,778 355-1107,nil,nil,nil,
St. Regis Fine Wines & Spirits,30-678 Dunsmuir St, Vancouver,604 662-3177,nil,nil,nil,
Samz Liquor Store,2342 Elgin, Port Coquitlam,604 461-1179,nil,nil,nil,
Sandpiper Liquor Store,1235 Johnston, White Rock,604 535-1322,nil,nil,nil,
Scott 72 Liquor Store,7229 120 St, Delta,604 543-7229,nil,nil,nil,
Select Liqour,1760 Kingsway Ave, Port Coquitlam,778 285-8512,nil,nil,nil,
Seymour's Pub Beer & Wine Store,720 Old Lillooet, North Vancouver,604 904-8822,nil,604 904-8823,nil,
Southpoint Liquor Store,3020 152 St, Surrey,604 541-8630,nil,nil,nil,
Kitsilano Cold Beer & Wine Store,2291 W Broadway, Vancouver,604 733-7155,nil,nil,nil,
Langley Liquor Store,5-20811 Fraser Hwy, Langley,604 539-7737,nil,604 539-7242,nil,
Terminal Pub,115 12th St, New Westminster,604 522-6545,nil,nil,nil,
Terra Nova Liquor Store,110-3671 West Minster Hwy, Richmond,604 276-2355,nil,nil,nil,
The Met Liquor Store,411 Columbia St, New Westminster,604 520-3160,nil,nil,nil,
Legacy Liquor Store,1633 Manitoba, Vancouver,604 331-7900,nil,nil,nil,
Legends Pub,6511 Buswell, Richmond,604 276-2343,nil,nil,nil,
Lennox Liquor Store,1-555 W 12th Ave,604 871-1116,nil,nil,nil,
U Lounge Liquor Store,2444 160 St, Surrey,604 542-8611,nil,nil,nil,
Valley Centre Liquor Store,101-20151 Fraser Hwy, Langley,604 539-1951,nil,nil,nil,
Vancouver First Avenue Liquor Store,241-28OO E 1st Ave, Vancouver,604 568-4709,nil,nil,nil,
Libations Dundarave,2477 Marine, West Vancouver,604 926-9463,nil,604 926-9456,nil,
,Liquor Depot,24-2773 Barnet Hwy, Coquitlam,604 945-8881,nil,nil,nil,
Liquor Depot,868-5300 No. 3 Rd, Richmond,604 233-0354,nil,nil,nil,
Liquor Distribution Branch,2625 Rupert St, Vancouver,604 252-3000,nil,nil,nil,
Liquor Quicker,E-1215 56 St, Tsawwassen,604 948-2337,nil,nil,nil,
BC Liquor Store,200-26310 Fraser Hwy, Aldergrove,604 856-7408,nil,nil,nil,
BC Liquor Store,1972 Como Lake Ave, Coquitlam,604 931-6612,nil,nil,nil,
BC Liquor Store,5202 48th Ave, Ladner,604 946-2020,nil,nil,nil,
BC Liquor Store,16-12080 Nordel Way, Surrey,604 501-3201,nil,nil,nil,
BC Liquor Store,9110 Glover Rd, Langley,604 888-5711,nil,nil,nil,
BC Liquor Store,100-8100 Ackroyd Rd, Richmond,604 278-2343,nil,nil,nil,
BC Liquor Store,10-8671 No. 1 Rd, Richmond,604 277-4216,nil,nil,nil,
BC Liquor Store,100-5630 176 St, Surrey,604 574-4452,nil,nil,nil,
BC Liquor Store,101-10761 King George Blvd, Surrey,604 581-0511,nil,nil,nil,
BC Liquor Store,280-15355 24 Ave, Surrey,604 535-8259,nil,nil,nil,
BC Liquor Store,1720 Guildford Town Ctr, Surrey,604 581-1511,nil,nil,nil,
BC Liquor Store,8904 152 St, Surrey,604 582-0008,nil,nil,nil,
BC Liquor Store,501-8840 210 St, Langley,604 513-4640,nil,nil,nil,
BC Liquor Store,1319H 56 St, Tsawwassen,604 943-3322,nil,nil,nil,
BC Liquor Store,103-3433 North, Burnaby,604 664-0844,nil,nil,nil,
Village Taphouse Wine Store,1C-900 Main West Vancouver,604 922-8823,nil,nil,nil,
Village VQA Wines,3536 W 41st Ave, Vancouver,604 269-9433,nil,nil,nil,
Village VQA Wines,1811 W 1st Ave, Vancouver,604 732-8827,nil,nil,nil,
Walnut Grove Liquor Store,20470 88 Ave, Langley,604 513-8740,nil,nil,nil,
West Coast Liquor Company,6295 Fraser, Vancouver,604 327-1113,nil,604 327-1120,nil,
West Coast Liquor Company,7651 Royal Oak Ave, Burnaby,604 419-0225,nil,nil,nil,
West Coast Liquor Company,5503 West Boulevard, Vancouver,604 669-1121,nil,nil,nil,
West Coast Liquor Company,1103-3880 Grant McConachie Way, Richmond,604 207-1127,nil,nil,nil,
ValleyFair Mall,300-22709 Lougheed Hwy, Maple Ridge,604 463-4509,nil,nil,nil,
Ocean Park Shopping Centre,12881 16 Ave, Surrey,604 531-7711,nil,nil,nil,
Moonrakers Cold Beer & Wine,525 7th St, New Westminster,604 526-9463,nil,nil,nil,
Mountainview Liquor Store,4333 Fraser St, Vancouver,604 876-8042,nil,nil,nil,
Murrayville Liquor Store,101-22071 48 Ave, Langley,604 533-2901,nil,nil,nil,
The Northshore Liquor Shop,1887 Marine, North Vancouver,604 982-9298,nil,nil,nil,
The Northshore Liquor Shop,1262 Lynn Valley, North Vancouver,604 985-0888,nil,nil,nil,
Oliver Twist Liquor Store,7557 Edmonds, Burnaby,604 520-1411,nil,nil,nil,
152 Liquor Store,9082 152 St, Surrey,604 580-1447,nil,nil,nil,
Outpost Liquor Store,23988 Dewdney Trunk, Maple Ridge,604 463-1555,nil,604 463-1558,nil,
Paddlewheeler Pub Liquor Store,104-810 Quayside, New Westminster,604 521-3622,nil,nil,nil,
Point Grey Beer & Wine,3338 W Broadway, Vancouver,604 732-5801,nil,nil,nil,
Rhino's Pub & Liquor Store,541 Clarke Rd, Coquitlam,604 937-3488,nil,nil,nil,
Royal Towers Liquor Store,140 6th St, New Westminster,604 524-9437,nil,nil,nil,
White Rock Liquor Store,15144 North Bluff, White Rock,604 542-9371,nil,604 542-9374,nil,
Willoughby Liquor Store,19988 84 Ave, Langley ,604 888-8813,nil,604 888-8827,nil,
Grouse Creek Motel,9414 King George Hwy, Surrey,604 589-4576,nil,604 589-7586,
Horseshoe Bay Motel,6588 Royal Ave, West Vancouver,604 921-7454,nil,nil,nil,
IHM 2400 Motor Court,2400 Kingsway, Vancouver,604 434-2464,nil,nil,nil,
Lake City Inn & Suites,5415 Lougheed Hwy, Burnaby,604 294-5331,www.lakecityinnandsuites.com,nil,nil,
Langley 8 Motel,26574 Gloucester Way, Langley,604 856-8488,nil,604 856-8229,
Linda Vista Motel,6498 King George Blvd, Surrey,604 591-1171,www.Lindavistamotel.com,nil,nil,
Lonsdale 500,104 5th St E, North Vancouver,604 980-9491,nil,nil,nil,
Motel Hollywood,9155 King George Blvd, Surrey,604 591-1900,nil,nil,nil,
Palms Motel,3505 Kingsway, Vancouver,604 435-3347,nil,nil,604 568-9490,
Poco Inn & Suites Hotel,1545 Lougheed Hwy, Port Coquitlam,604 941-6216,nil,nil,nil,
Quality Inn Maple Ridge,21735 Lougheed Hwy, Maple Ridge,604 463-5111,nil,nil,nil,
Ramada Coquitlam,631 Lougheed Hwy, Coquitlam,604 931-4433,nil,nil,nil,
Ramada Hotel & Suites,3484 Kingsway, Vancouver,604 433-8255,nil,nil,nil,
Ramada Vancouver Exhibition Park,3475 E Hastings St, Vancouver,604 294-4751,nil,nil,nil,
Riviera Hotel,1431 Robson St, Vancouver,604 685-1301,nil,nil,nil,
Royal City Motel,921 12 Ave, Tsawwassen,604 943-2632,nil,nil,nil,
Best Western Capilano Inn & Suites,1634 Capilano Rd, North Vancouver,604 987-8185,nil,nil,nil,
Break Away Motel,King George Blvd, Surrey,604 535-1110,nil,nil,nil,
Canada's Best Value Westward Inn,Fraser Hwy, Langley,604 534-9238,nil,nil,nil,
Canadian Inn,6528 King George Hwy, Surrey,604 594-0010,nil,nil,nil,
Cedar Lane Motel,926 160th St, White Rock,604 531-4973,nil,nil,nil,
City Centre Motor Hotel,2111 Main St, Vancouver,604 876-7166,nil,nil,nil,
Coast Tsawwassen Inn,1665 56 St, Tsawwassen,604 943-8221,nil,nil,nil,
Comfort Inn & Suites,1748 Capilano Rd, North Vancouver,604 988-3181,nil,nil,nil,
Comfort Inn & Suites,8255 166 St, Surrey,604 576-8888,nil,nil,nil,
Coquitlam Sleepy Lodge,730 Clarke, Coquitlam,604 937-7737,nil,nil,nil,
Days Inn,13373 King George Blvd, Surrey,604 585-2300,nil,nil,nil,
Days Inn Vancouver Airport,2840 Sexsmith, Richmond,604 207-8000,nil,nil,nil,
Flamingo Motor Hotel,10768 King George Blvd, Surrey,604 584-7027,nil,nil,nil,
Good Knight Inn,5796 200 St, Langley,604 532-8847,nil,nil,nil,
Royal City Motel,418 12th St, New Westminster,604 524-9624,nil,nil,nil,
Shato Inn Hotel,1825 Comox St, Vancouver,604 681-8920,nil,nil,nil,
Travelodge,20470 88 Ave, Langley,604 888-4891,nil,nil,nil,
Travelodge Lionsgate,2060 Marine Dr, North Vancouver,604 985-5311,nil,nil,nil,
Tsawwassen Motel,6574 Ladner Trunk, Ladner,604 946-4288,nil,nil,nil,
A-1 Pizza Factory,3-701 Kingsway, Vancouver,604 484-4444,nil,nil,nil,
Aaron's Restaurant,17665 57 Avenue, Surrey,604 576-1464,nil,nil,nil,
Abby Pizza Place,3083 271 St, Aldergrove,604 857-0135,nil,nil,nil,
Aka Tom Bo Japanese Restaurant,751 Lonsdale Ave, North Vancouver,604 929-9999,nil,nil,nil,
Albion Pizzeria,103-24155 102 Ave, Maple Ridge,604 477-4321,nil,nil,nil,
Amadeus Pizza,106-1833 Anderson St, Vancouver,604 730-8881,nil,nil,nil,
Amore Pizza,350 Robson St, Vancouver,604 633-0202,nil,nil,nil,
Anand Pizza & Sweet Shop,102-15970 96 Ave, Surrey,604 584-5656,nil,nil,nil,
Andiamos Pizza,1-20726 Lougheed Hwy, Maple Ridge,604 463-9292,nil,nil,nil,604 477-3456,
Angelo's Pizza,111-5501 204 St, Langley,nil,nil,nil,604 514-2357,
Apollo Pizza,9-11161 84 Ave, Delta,604 594-5511,nil,nil,nil,
Assini Greek Restaurant Pizza & Pasta,109-15551 Fraser Hwy, Surrey,604 589-7203,nil,nil,nil,
Athens Pizza,2444 Main St, Vancouver,604 872-8177,nil,nil,604 872-8178,
Avi Pizza  Factory,7696 Royal Oak, Burnaby,604 451-5711,nil,nil,604 434-3100,
Awesome Pizza,5590 248 St, Aldergrove,604 607-7780,nil,nil,nil,
Baci Restaurant,3728 Hastings, Burnaby,604 299-7047,nil,nil,nil,
Barney Pizza,348-8140 128 St, Surrey,778 565-4416,nil,nil,nil,
Basil's Pizzeria,28818 St. Johns, Port Moody,604 469-8448,nil,604 469-8447,nil,
Bay Moorings Restaurant,6330 Bay St, West Vancouver,604 921-8184,nil,nil,nil,
Bella Candela,109 Esplanade W, North Vancouver,604 983-3636,nil,nil,nil,
Bella Pizza,1725 Davie St, Vancouver,604 688-8888,nil,nil,nil,
Bella Pizza,2525 Hemlock St,Vancouver,604 732-6565,nil, nil,
Bella Pizza,4624 Imperial, Burnaby,604 438-3555,nil,nil,nil,
Bellaroma Pizzeria & Ristorante,4460 W 1Oth Ave, Vancouver,604 222-8080,nil,nil,nil,
Bertolucci Pizza,140-1959 152 St, Surrey,604 536-9800,nil,nil,nil,
The Best Neighbours Restaurant & Pizza House,3838 Oak St, Vancouver,604 732-3777,nil,nil,nil,
Big Daddy's Pizza,1975 Powell St, Vancouver,604 216-6664,nil,nil,604 216-6886,
Big Johnny's Pizza House,2828 W 4th Ave, Vancouver,604 737-8211,nil,nil,nil,
Big Mama's Pizza,101-20631 Fraser Hwy, Langley,604 532-6440,nil,nil,nil,
Blundell Pizza,170-4775 Blundell Rd, Richmond,604 277-6556,nil,nil,nil,
Bob & Al's Pizza,7571 6th St, Burnaby,604 522-5000,nil,nil,nil,
Boston Pizza,1078 Marine Dr, North Vancouver,604 984-0407,nil,nil,nil,
Boston Pizza,1045 Columbia St, New Westminster,604 525-3340,nil,nil,nil,
Boston Pizza,805 Boyd, New Westminster,604 759-3133,nil,nil,nil,
Boston Pizza,1035 Lougheed Hwy, Coquitlam,604 527-8883,nil,nil,nil,
Boston Pizza,710-3025 Lougheed Hwy, Coquitlam,604 941-6414,nil,nil,nil,
Boston Pizza,510-19800 Lougheed Hwy, Pitt Meadows,604 465-7100,nil,nil,nil,
Boston Pizza,900-26310 Fraser Hwy, Aldergrove,604 607-0713,nil,nil,nil,
Boston Pizza,116-6345 120 St, Delta,604 590-3350,nil,nil,nil,
Boston Pizza,19700 Langley By-Pass, Langley,604 534-5233,nil,nil,nil,
Boston Pizza,D-20090 91A Ave, Langley,604 513-1330,nil,nil,nil,
Boston Pizza,801-15980 Fraser Hwy, Surrey,604 507-5507,nil,nil,nil,
Boston Pizza,15125 100 Ave, Surrey,604 581-3600,nil,nil,nil,
Boston Pizza,600-7488 King George Blvd, Surrey,604 599-8877,nil,nil,nil,
Boston Pizza,1081-10153 King George Blvd, Surrey,604 582-6795,nil,nil,nil,
Boston Pizza,12060 Nordel Way, Surrey,604 596-6455,nil,nil,nil,
Boston Pizza,1956 152 St, Surrey,604 531-3333,nil,nil,nil,
Boston Pizza,600-6486 176 St, Surrey,604 576-2677,nil,nil,nil,
,Boston Pizza ,1078 Marine, North Vancouver,604 984-0407,nil,nil,nil,
Boston Pizza,2000-11662 Steveston Hwy, Richmond,604 448-9991,nil,nil,nil,
Boston Pizza,50-8100 Ackroyd, Richmond,604 273-6151,nil,nil,nil,
Boston Pizza,104-4680 Kingsway, Burnaby,604 431-6565,nil,nil,nil,
Boston Pizza,1333 W Broadway, Vancouver,604 730-2822,nil,nil,nil,
Boston Pizza,2850 Bentall Esplanade, Vancouver,604 439-1132,nil,nil,nil,
Boston Pizza,88 Chesterfield Ave, North Vancouver,778 340-1514,nil,604 607-6581,nil,
Brick Oven Pizzeria,4265 Dunbar St, Vancouver,604 228-1822,nil,nil,nil,
Bridgeview Pizza,106-11267 125A St, Surrey,604 580-4444,nil,nil,nil,
BC Pizza,101-8318 120 St, Surrey,604 596-2666,nil,nil,nil,
BTS City Pizza,101-8318 120 St, Surrey,778 593-0555,nil,nil,778 593-0999,
Bucky's West Coast Pizzeria,1b-15562 24 Ave, Surrey,604 541-1010,nil,nil,nil,
Camy's Pizza,5688 Fraser, Vancouver,604 324-2200,nil,nil,604 324-5666,
Camy's Pizza,12849 96 Ave, Surrey,604 589-9559,nil,nil,nil,
Camy's Pizza,4027 208 St, Langley,604 514-8900,nil,nil,nil,
Canadian Pizza Guys BC,1232 Howe St, Vancouver,604 301-1010,nil,nil,604 215-3333,
Canadian Pizza Plus,34-8650 Cinnamon Dr, Burnaby,604 420-0008,nil,nil,nil,
Canadian 2 For 1,11-20555 56 Ave, Langley,604 530-2222,nil,nil,nil,
Canadian 2 For 1 Pizza,11-20555 56 Ave, Langley,604 534-4545,nil,nil,604 534-2511,
Canadian 2 For 1 Pizza,9458 204 St, Langley,604 888-0522,nil,nil,nil,
Canadian 2 For 1 Pizza,10070 152 St, Surrey,604 957-0018,nil,nil,604 589-7566,
Canadian 2 For 1 Pizza,2-13791 72 Ave, Surrey,604 599-5669,nil,nil,nil,
Canan 2 For 1 Pizza,7270 Main St,604 324-4441,nil,nil,604 324-7771,
Domino's Pizza,190-11700 Cambie, Richmond,604 278-0010,nil,nil,nil,
Domino's Pizza,1-27080 Fraser Hwy, Aldergrove,604 626-4321,nil,nil,nil,
Domino's Pizza,A-1601 Burnwood Dr, Burnaby,604 421-7077,nil,nil,nil,
Domino's Pizza,102-4161 Hastings, Burnaby,604293-1133,nil,nil,nil,
Domino's Pizza,4730 Imperial St, Burnaby,604 438-1131,nil,nil,nil,
Domino's Pizza,1206 Austin Ave, Coquitlam,604 937-5755,nil,nil,nil,
Domino's Pizza,103-1315 56 St, Delta,604 948-1333,nil,nil,nil,
Domino's Pizza,19977 96 Ave, Langley,604 882-7445,nil,nil,604 534-8465,
Domino's Pizza,115-4061 200 St, Langley,604 534-2277,nil,nil,604 534-6578,
Domino's Pizza,820a-828 12th St, New Westminster,604 520-1584,nil,nil,nil,
Domino's Pizza,151 W 3rd St, North Vancouver,604 984-0300,nil,nil,nil,
Domino's Pizza,3-2850 Oxford St, Port Coquitlam,604 944-9900,nil,nil,nil,
Domino's Pizza,120-9471 No.2, Richmond,604 275-11H,nil,nil,nil,
Domino's Pizza,103-15335 56 Ave, Surrey,604 575-6400,nil,nil,nil,
Domino's Pizza,10346 Whalley Blvd, Surrey,604 585-9800,nil,604 585-7600,nil,
Domino's Pizza,107-19475 Fraser Hwy, Surrey,604 539-1010,nil,nil,nil,
Domino's Pizza ,2083 Dundas, Vancouver,604 215-9800,nil,nil,nil,
Domino's Pizza,1312 W Broadway, Vancouver,604 731-8200,nil,nil,nil,
Domino's Pizza,1254 Kingsway, Vancouver,604 872-3030,nil,nil,nil,
Domino's Pizza,777 Denman St, Vancouver,604 662-3030,nil,nil,nil,
Domino's Pizza,5522 Joyce, Vancouver,604 436-3030,nil,nil,nil,
Domino's Pizza,916 Seymour St, Vancouver,604 683-5800,nil,nil,nil,
Domino's Pizza,270-22529 Lougheed Hwy, Maple Ridge,604 466-9921,nil,nil,nil,
Capotas Pizza,3598 E Hastings St, Vancouver,604 299-2599,nil,nil,nil,
Captain's Deep Dish Pizza,4651 Hastings St, Burnaby,604 713-9999,nil,nil,nil,
Caribbean Hut Pizza Express,2297 E Hastings St, Vancouver,604 254-3434,nil,nil,nil,
Chi Chi Pizza,2580 Kingsway, Port Coquitlam,604 552-4400,nil,nil,nil,
Chicago's Deep Dish Pizza,721 Denman St, Vancouver,604 915-9196,nil,nil,nil,
Choice Pizza,102-2901 272 St, Aldergrove,604 857-9700,nil,nil,nil,
Cipriano's Ristorante & Pizzeria,3995 Main St, Vancouver,604 879-0020,nil,nil,604 879-4424,
Donair Pizza Restaurant,1062 Davie St, Vancouver,604 684-7848,nil,nil,nil,
Dream Pizza,20486 Logan Ave, Langley,604 530-2969,nil,nil,604 533-7727,
